nta2020,ntaname,boroname,nta_area_km2,poi_total_count,poi_density_per_km2,poi_unique_semantic_category_count,poi_semantic_entropy_norm,poi_mixed_use_index,poi_dominant_semantic_category,poi_dominant_semantic_category_share,poi_commercial_activity_count,poi_daily_activity_count,poi_social_infrastructure_count,poi_mobility_access_count,poi_recreation_environment_count,poi_safety_public_service_count
QN1001,South Ozone Park,Queens,7.598687719546116,490,64.48481870620532,10,0.6277853319598325,0.7725864223240316,transport,0.35918367346938773,162,359,32,176,14,1
SI0104,West New Brighton-Silver Lake-Grymes Hill,Staten Island,7.924876011018824,487,61.45206553678196,11,0.6024381532420037,0.7328782429406878,transport,0.4353182751540041,90,336,41,212,115,1
QN0101,Astoria (North)-Ditmars-Steinway,Queens,5.413332993251407,486,89.77833076329821,10,0.6488489548629939,0.7866771664211079,food_drink,0.3045267489711934,219,375,30,141,41,0
QN0104,Astoria (East)-Woodside (North),Queens,2.4179802222197093,484,200.16706321761694,9,0.6419292805145013,0.7787121781299091,food_drink,0.36983471074380164,275,383,31,94,29,0
MN1101,East Harlem (South),Manhattan,1.5462855505914357,478,309.12789673108614,10,0.6943884347504142,0.8217380648097897,transport,0.26359832635983266,193,359,51,126,56,1
QN0203,Woodside,Queens,3.0593886359746376,471,153.95232709621158,10,0.6532831397049865,0.8012585590580641,food_drink,0.267515923566879,205,345,26,122,40,0
SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,Staten Island,16.750480176333554,442,26.38730325023719,10,0.5058688071034052,0.6545730021907823,recreation_green,0.4660633484162896,42,207,23,154,208,2
SI0305,Tottenville-Charleston,Staten Island,11.769286710491645,438,37.21550938253107,10,0.5789344298097606,0.7317299472488064,transport,0.3789954337899543,102,279,20,166,137,1
BK0402,Bushwick (East),Brooklyn,2.593630972278392,429,165.4051808392549,12,0.6562227036390108,0.8033318662689293,transport,0.2564102564102564,191,328,31,110,27,2
BK0203,Fort Greene,Brooklyn,1.6279417138435677,429,263.52294824311105,10,0.6794954143656934,0.8132318342108552,food_drink,0.289044289044289,177,297,39,91,78,0
MN1102,East Harlem (North),Manhattan,2.425135435443344,428,176.48498873291027,11,0.6921014940976795,0.8084439689055812,transport,0.3294392523364486,136,308,46,141,61,7
MN0602,Gramercy,Manhattan,0.69876281098977,412,589.6135190944381,12,0.6217334990822331,0.707842397963993,food_drink,0.5024271844660194,267,339,42,54,17,2
MN0803,Upper East Side-Yorkville,Manhattan,1.266906508155975,409,322.83360876826913,10,0.622984714801591,0.7427741345400852,food_drink,0.43765281173594134,256,344,32,74,25,2
SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,Staten Island,17.297252167944063,396,22.893809730882143,9,0.5192147980296816,0.6736302418120601,transport,0.4393939393939394,45,244,34,174,146,0
QN0501,Maspeth,Queens,5.4144614982599055,396,73.13746715666296,9,0.6382840075467361,0.7799331700846852,transport,0.35858585858585856,132,293,28,142,25,0
QN1205,St. Albans,Queens,6.8969277230373125,393,56.98189335626794,9,0.5823283471583331,0.7333553470724965,transport,0.41475826972010177,87,265,19,163,22,1
BK0201,Brooklyn Heights,Brooklyn,0.9267955902265893,393,424.0417241345707,10,0.6686958414735921,0.7894644834217119,recreation_green,0.3256997455470738,149,229,49,48,132,0
BK0902,Prospect Lefferts Gardens-Wingate,Brooklyn,2.2319230211813883,387,173.39307687912796,9,0.6630960245544033,0.8121306812491237,food_drink,0.24806201550387597,153,280,38,91,27,1
BK1803,Canarsie,Brooklyn,6.548932052206535,383,58.482817800950556,8,0.509246691699441,0.6656940874912229,transport,0.46736292428198434,36,232,20,179,23,0
MN0703,Upper West Side-Manhattan Valley,Manhattan,1.2256265353460825,382,311.6773250116798,11,0.6415828028771748,0.7774183821715414,food_drink,0.3586387434554974,208,309,29,81,52,1
QN1303,Queens Village,Queens,6.46789905691055,379,58.59708023659738,10,0.6294879883597193,0.7641133102665674,transport,0.38258575197889183,87,257,31,145,23,2
MN0191,The Battery-Governors Island-Ellis Island-Liberty Island,Manhattan,1.1135099316230264,378,339.4671113970541,7,0.2665012011489348,0.317180370090423,recreation_green,0.8201058201058201,21,52,12,33,319,0
BK1401,Flatbush,Brooklyn,2.2305630775558902,360,161.39422535159383,9,0.6560014624735645,0.8018981481481482,transport,0.26944444444444443,155,272,27,97,15,0
QN0105,Queensbridge-Ravenswood-Dutch Kills,Queens,2.573897847771175,360,139.86569059519442,11,0.7086280630829853,0.8194907407407408,transport,0.2972222222222222,135,229,25,107,31,1
MN1001,Harlem (South),Manhattan,1.3394586823551151,357,266.5255783569984,12,0.6885252062915124,0.801277373694576,transport,0.2969187675070028,163,281,31,106,30,2
BK0204,Clinton Hill,Brooklyn,1.352463582960564,357,263.9627450955252,10,0.6580062246575281,0.7987665654497094,food_drink,0.28851540616246496,147,243,23,81,79,1
SI0105,Westerleigh-Castleton Corners,Staten Island,7.105044224107885,355,49.96450251434911,10,0.6509605109319905,0.7935250942273359,transport,0.3183098591549296,129,271,43,113,67,0
BK1202,Borough Park,Brooklyn,3.758502004157597,354,94.18646035266461,12,0.6556692830735956,0.78060263653484,transport,0.3333333333333333,93,225,31,118,15,2
SI0107,Mariner's Harbor-Arlington-Graniteville,Staten Island,8.298901593761142,354,42.65624745642559,9,0.50170408432896,0.6767212486833285,transport,0.3954802259887006,62,210,11,140,138,1
QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,6.4282782810570405,348,54.135801965122184,11,0.6003115935432894,0.7312227506936186,transport,0.4396551724137931,65,228,17,153,37,2
MN1202,Washington Heights (North),Manhattan,2.2999831714302528,343,149.13152594360255,12,0.6883788587553562,0.8035597412642692,transport,0.29737609329446063,120,243,35,102,25,4
BK1602,Brownsville,Brooklyn,2.8584321487700706,340,118.94632522458005,10,0.583139086777358,0.7381141868512111,transport,0.37941176470588234,35,180,19,129,57,2
MN1002,Harlem (North),Manhattan,2.2091277751749074,337,152.54889453975474,11,0.6905017321425527,0.8019794133962612,transport,0.34718100890207715,101,246,39,117,51,6
SI0106,Port Richmond,Staten Island,3.3642741088525976,330,98.08951034389648,11,0.6370747860814728,0.7861707988980716,transport,0.30303030303030304,116,237,28,100,83,2
BK1801,Flatlands,Brooklyn,5.045063843525309,328,65.014043463681,8,0.4523651945794978,0.6210588935157644,transport,0.5060975609756098,16,195,13,166,20,1
SI0101,St. George-New Brighton,Staten Island,2.4611531199983663,328,133.27086288731914,12,0.6540987562071908,0.7822724568709101,transport,0.3628048780487805,91,221,20,119,69,3
BK1802,Marine Park-Mill Basin-Bergen Beach,Brooklyn,5.466072384169322,326,59.640629887037655,8,0.4779075519447484,0.6194625315216982,transport,0.5552147239263804,29,218,11,181,23,0
BK1501,Gravesend (East)-Homecrest,Brooklyn,3.2384503293052083,325,100.35664189721476,10,0.6980807476466752,0.8232899408284023,transport,0.28307692307692306,100,230,45,92,22,2
QN8381,John F. Kennedy International Airport,Queens,18.309652914600285,324,17.695583936582405,10,0.533595495314426,0.7005220240816948,transport,0.4567901234567901,133,267,3,148,1,2
