year,complaint_type,rows,period
2017,Interior Demo,5,2015-2019
2017,Trans Fat,3,2015-2019
2017,Building Condition,3,2015-2019
2017,Stalled Sites,3,2015-2019
2017,Advocate-Commercial Exemptions,3,2015-2019
2017,AGENCY,3,2015-2019
2017,Squeegee,2,2015-2019
2017,DOF Property - Reduction Issue,2,2015-2019
2017,VACANT APARTMENT,2,2015-2019
2017,Special Enforcement,2,2015-2019
2017,SRDE,1,2015-2019
2017,ZSYSTEST,1,2015-2019
2017,Advocate - Lien,1,2015-2019
2017,Advocate-Business Tax,1,2015-2019
2017,ZTESTINT,1,2015-2019
2017,Advocate - Levy,1,2015-2019
2018,Noise - Residential,217486,2015-2019
2018,HEAT/HOT WATER,217025,2015-2019
2018,Request Large Bulky Item Collection,178975,2015-2019
2018,Illegal Parking,162450,2015-2019
2018,Blocked Driveway,136793,2015-2019
2018,Street Condition,100108,2015-2019
2018,UNSANITARY CONDITION,86230,2015-2019
2018,Water System,74556,2015-2019
2018,Noise - Street/Sidewalk,73772,2015-2019
2018,Noise,59664,2015-2019
2018,PAINT/PLASTER,59376,2015-2019
2018,PLUMBING,53186,2015-2019
2018,Street Light Condition,46911,2015-2019
2018,Noise - Commercial,44695,2015-2019
2018,Sanitation Condition,41735,2015-2019
2018,Missed Collection (All Materials),40435,2015-2019
2018,WATER LEAK,39162,2015-2019
2018,Derelict Vehicle,38955,2015-2019
2018,Dirty Conditions,38111,2015-2019
2018,DOOR/WINDOW,38019,2015-2019
2018,Damaged Tree,37718,2015-2019
2018,Sewer,36454,2015-2019
2018,Derelict Vehicles,36302,2015-2019
2018,General Construction/Plumbing,36040,2015-2019
2018,Noise - Vehicle,33744,2015-2019
2018,Rodent,32356,2015-2019
2018,Sidewalk Condition,29361,2015-2019
2018,Building/Use,28700,2015-2019
2018,ELECTRIC,27480,2015-2019
2018,Traffic Signal Condition,26142,2015-2019
2018,GENERAL,26078,2015-2019
2018,FLOORING/STAIRS,25138,2015-2019
2018,New Tree Request,20589,2015-2019
2018,Graffiti,19991,2015-2019
2018,Homeless Person Assistance,19455,2015-2019
2018,Consumer Complaint,15429,2015-2019
2018,Overgrown Tree/Branches,15179,2015-2019
2018,Elevator,15024,2015-2019
2018,APPLIANCE,14694,2015-2019
2018,Electronics Waste Appointment,13719,2015-2019
2018,Taxi Complaint,13705,2015-2019
2018,Broken Parking Meter,12701,2015-2019
2018,For Hire Vehicle Complaint,11609,2015-2019
2018,Dead/Dying Tree,11230,2015-2019
2018,Food Establishment,10661,2015-2019
2018,SAFETY,9542,2015-2019
2018,Electronics Waste,9455,2015-2019
2018,DOF Property - Payment Issue,9033,2015-2019
2018,Lead,8837,2015-2019
2018,Animal Abuse,8661,2015-2019
2018,Root/Sewer/Sidewalk Condition,8441,2015-2019
2018,Plumbing,8306,2015-2019
2018,Non-Emergency Police Matter,8301,2015-2019
2018,Other Enforcement,8249,2015-2019
2018,Air Quality,7265,2015-2019
2018,Street Sign - Damaged,6822,2015-2019
2018,Curb Condition,6802,2015-2019
2018,Special Projects Inspection Team (SPIT),6198,2015-2019
2018,Street Sign - Missing,5659,2015-2019
2018,Water Conservation,5483,2015-2019
2018,Traffic,4690,2015-2019
2018,Vending,4686,2015-2019
2018,Homeless Encampment,4597,2015-2019
2018,Indoor Air Quality,4564,2015-2019
2018,Snow,4485,2015-2019
2018,Emergency Response Team (ERT),4263,2015-2019
2018,Noise - Park,4138,2015-2019
2018,Electrical,3662,2015-2019
2018,Borough Office,3573,2015-2019
2018,Maintenance or Facility,3535,2015-2019
2018,Illegal Tree Damage,3370,2015-2019
2018,Food Poisoning,3288,2015-2019
2018,Construction Safety Enforcement,3271,2015-2019
2018,Litter Basket / Request,3074,2015-2019
2018,Hazardous Materials,2912,2015-2019
2018,Highway Condition,2766,2015-2019
2018,Street Sign - Dangling,2703,2015-2019
2018,Smoking,2682,2015-2019
2018,Derelict Bicycle,2559,2015-2019
2018,Standing Water,2512,2015-2019
2018,School Maintenance,2470,2015-2019
2018,Asbestos,2057,2015-2019
2018,BEST/Site Safety,2041,2015-2019
2018,Vacant Lot,2015,2015-2019
2018,Water Quality,2008,2015-2019
2018,Drug Activity,1979,2015-2019
2018,Sustainability Enforcement,1961,2015-2019
2018,Taxi Report,1923,2015-2019
2018,Unsanitary Animal Pvt Property,1838,2015-2019
2018,Building Marshals office,1808,2015-2019
2018,Boilers,1576,2015-2019
2018,ELEVATOR,1568,2015-2019
2018,Drinking,1549,2015-2019
2018,DRIE,1444,2015-2019
2018,Non-Residential Heat,1302,2015-2019
2018,Industrial Waste,1225,2015-2019
2018,Indoor Sewage,1134,2015-2019
2018,Sweeping/Missed,1097,2015-2019
2018,OUTSIDE BUILDING,1064,2015-2019
2018,Bus Stop Shelter Complaint,1027,2015-2019
2018,Noise - Helicopter,1022,2015-2019
2018,Overflowing Litter Baskets,890,2015-2019
2018,Mobile Food Vendor,850,2015-2019
2018,Noise - House of Worship,750,2015-2019
2018,Executive Inspections,736,2015-2019
2018,Unleashed Dog,729,2015-2019
2018,Recycling Enforcement,706,2015-2019
2018,Mosquitoes,657,2015-2019
2018,DPR Internal,643,2015-2019
2018,Unsanitary Pigeon Condition,637,2015-2019
2018,Violation of Park Rules,616,2015-2019
2018,Day Care,613,2015-2019
2018,For Hire Vehicle Report,526,2015-2019
2018,Urinating in Public,508,2015-2019
2018,Miscellaneous Categories,475,2015-2019
2018,Animal in a Park,445,2015-2019
2018,Bike/Roller/Skate Chronic,441,2015-2019
2018,Mold,436,2015-2019
2018,Panhandling,422,2015-2019
2018,Quality of Life,407,2015-2019
2018,Facades,361,2015-2019
2018,Senior Center Complaint,313,2015-2019
2018,Sweeping/Inadequate,299,2015-2019
2018,Bus Stop Shelter Placement,290,2015-2019
2018,Public Payphone Complaint,290,2015-2019
2018,Bridge Condition,275,2015-2019
2018,Cranes and Derricks,269,2015-2019
2018,LinkNYC,257,2015-2019
2018,Illegal Fireworks,247,2015-2019
2018,Scaffold Safety,240,2015-2019
2018,Investigations and Discipline (IAD),226,2015-2019
2018,Illegal Animal Kept as Pet,214,2015-2019
2018,Found Property,206,2015-2019
2018,Beach/Pool/Sauna Complaint,204,2015-2019
2018,Poison Ivy,185,2015-2019
2018,Harboring Bees/Wasps,176,2015-2019
2018,Adopt-A-Basket,175,2015-2019
2018,Posting Advertisement,151,2015-2019
2018,Pet Shop,141,2015-2019
2018,Collection Truck Noise,138,2015-2019
2018,Unsanitary Condition,134,2015-2019
2018,FCST,122,2015-2019
2018,Bike Rack Condition,120,2015-2019
2018,Drinking Water,119,2015-2019
2018,Tattooing,105,2015-2019
