target_definition,fold_id,validation_year,test_year,split,calibration_method,bin_id,bin_lower,bin_upper,rows,mean_score,observed_rate,abs_gap
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,uncalibrated,6,0.5,0.6000000000000001,14059,0.5498180461461752,0.14396472010811578,0.40585332603805946
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,uncalibrated,7,0.6000000000000001,0.7000000000000001,13253,0.6486890831512785,0.1999547272315702,0.4487343559197083
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,uncalibrated,8,0.7000000000000001,0.8,10293,0.7464631682501994,0.27533275041290195,0.4711304178372975
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,uncalibrated,9,0.8,0.9,4978,0.8401592807992787,0.39272800321414225,0.44743127758513646
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,uncalibrated,10,0.9,1.0,535,0.9198098307799624,0.5869158878504673,0.33289394292949503
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,test,uncalibrated,1,0.0,0.1,4218,0.06185585007165486,0.013276434329065908,0.04857941574258895
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,test,uncalibrated,2,0.1,0.2,7975,0.15320852969935717,0.030721003134796237,0.12248752656456093
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,test,uncalibrated,3,0.2,0.30000000000000004,11280,0.2518489181309059,0.051152482269503544,0.20069643586140234
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,test,uncalibrated,4,0.30000000000000004,0.4,13194,0.35088670348393797,0.07821737153251478,0.2726693319514232
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,test,uncalibrated,5,0.4,0.5,13952,0.4502277628622977,0.10299598623853211,0.3472317766237656
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,test,uncalibrated,6,0.5,0.6000000000000001,14178,0.5502135227617239,0.13873606996755536,0.4114774527941685
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,test,uncalibrated,7,0.6000000000000001,0.7000000000000001,13645,0.6489571136579763,0.1879076584829608,0.4610494551750155
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,test,uncalibrated,8,0.7000000000000001,0.8,10461,0.7463847657290772,0.270146257527961,0.4762385082011162
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,test,uncalibrated,9,0.8,0.9,4719,0.8406566691758219,0.3653316380589108,0.47532503111691116
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,test,uncalibrated,10,0.9,1.0,508,0.9181677651454664,0.5059055118110236,0.4122622533344428
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,platt,1,0.0,0.1,40872,0.054716432293846436,0.05896457232335095,0.004248140029504514
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,platt,2,0.1,0.2,27073,0.14551107037059974,0.14154323495733756,0.003967835413262177
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,platt,3,0.2,0.30000000000000004,15569,0.24535066258586286,0.23065065193654055,0.014700010649322304
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,platt,4,0.30000000000000004,0.4,7447,0.34188126588552675,0.345642540620384,0.0037612747348572673
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,platt,5,0.4,0.5,1495,0.4283600100780091,0.517056856187291,0.08869684610928191
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,platt,6,0.5,0.6000000000000001,2,0.5042143626165663,1.0,0.49578563738343373
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,platt,7,0.6000000000000001,0.7000000000000001,0,,,
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,platt,8,0.7000000000000001,0.8,0,,,
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,platt,9,0.8,0.9,0,,,
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,platt,10,0.9,1.0,0,,,
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,test,platt,1,0.0,0.1,41930,0.05609372314100459,0.05783448604817553,0.0017407629071709424
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,test,platt,2,0.1,0.2,27456,0.1453845583162851,0.13290355477855478,0.012481003537730323
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,test,platt,3,0.2,0.30000000000000004,16071,0.24522932793523375,0.22251260033600895,0.0227167275992248
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,test,platt,4,0.30000000000000004,0.4,7211,0.3410703444251197,0.32797115517958675,0.013099189245532938
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,test,platt,5,0.4,0.5,1458,0.4273811463639469,0.45816186556927296,0.030780719205326046
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,test,platt,6,0.5,0.6000000000000001,4,0.5053481386772154,0.5,0.005348138677215397
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,test,platt,7,0.6000000000000001,0.7000000000000001,0,,,
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,test,platt,8,0.7000000000000001,0.8,0,,,
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,test,platt,9,0.8,0.9,0,,,
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,test,platt,10,0.9,1.0,0,,,
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,isotonic,1,0.0,0.1,36863,0.053766659414589156,0.053766649485934404,9.928654752522359e-09
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,isotonic,2,0.1,0.2,33635,0.14030028244388287,0.14030028244388287,0.0
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,isotonic,3,0.2,0.30000000000000004,13983,0.24222269899163265,0.2422226989916327,5.551115123125783e-17
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,isotonic,4,0.30000000000000004,0.4,5736,0.34675732217573224,0.34675732217573224,0.0
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,isotonic,5,0.4,0.5,1547,0.451195862960569,0.45119586296056885,1.6653345369377348e-16
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,isotonic,6,0.5,0.6000000000000001,631,0.5705229793977813,0.5705229793977813,0.0
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,isotonic,7,0.6000000000000001,0.7000000000000001,0,,,
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,isotonic,8,0.7000000000000001,0.8,59,0.7288135593220338,0.7288135593220338,0.0
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,isotonic,9,0.8,0.9,0,,,
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,isotonic,10,0.9,1.0,4,0.999999,1.0,1.0000000000287557e-06
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,test,isotonic,1,0.0,0.1,37602,0.05582068472323058,0.05286952821658422,0.00295115650664636
